Years,Continent,Countries,Reactor Count
1/1/1954,Asia,ARMENIA,0
1/1/1955,Asia,ARMENIA,0
1/1/1956,Asia,ARMENIA,0
1/1/1957,Asia,ARMENIA,0
1/1/1958,Asia,ARMENIA,0
1/1/1959,Asia,ARMENIA,0
1/1/1960,Asia,ARMENIA,0
1/1/1961,Asia,ARMENIA,0
1/1/1962,Asia,ARMENIA,0
1/1/1963,Asia,ARMENIA,0
1/1/1964,Asia,ARMENIA,0
1/1/1965,Asia,ARMENIA,0
1/1/1966,Asia,ARMENIA,0
1/1/1967,Asia,ARMENIA,0
1/1/1968,Asia,ARMENIA,0
1/1/1969,Asia,ARMENIA,0
1/1/1970,Asia,ARMENIA,0
1/1/1971,Asia,ARMENIA,0
1/1/1972,Asia,ARMENIA,0
1/1/1973,Asia,ARMENIA,0
1/1/1974,Asia,ARMENIA,0
1/1/1975,Asia,ARMENIA,0
1/1/1976,Asia,ARMENIA,1
1/1/1977,Asia,ARMENIA,1
1/1/1978,Asia,ARMENIA,1
1/1/1979,Asia,ARMENIA,1
1/1/1980,Asia,ARMENIA,2
1/1/1981,Asia,ARMENIA,2
1/1/1982,Asia,ARMENIA,2
1/1/1983,Asia,ARMENIA,2
1/1/1984,Asia,ARMENIA,2
1/1/1985,Asia,ARMENIA,2
1/1/1986,Asia,ARMENIA,2
1/1/1987,Asia,ARMENIA,2
1/1/1988,Asia,ARMENIA,2
1/1/1989,Asia,ARMENIA,2
1/1/1990,Asia,ARMENIA,1
1/1/1991,Asia,ARMENIA,1
1/1/1992,Asia,ARMENIA,1
1/1/1993,Asia,ARMENIA,1
1/1/1994,Asia,ARMENIA,1
1/1/1995,Asia,ARMENIA,1
1/1/1996,Asia,ARMENIA,1
1/1/1997,Asia,ARMENIA,1
1/1/1998,Asia,ARMENIA,1
1/1/1999,Asia,ARMENIA,1
1/1/2000,Asia,ARMENIA,1
1/1/2001,Asia,ARMENIA,1
1/1/2002,Asia,ARMENIA,1
1/1/2003,Asia,ARMENIA,1
1/1/2004,Asia,ARMENIA,1
1/1/2005,Asia,ARMENIA,1
1/1/2006,Asia,ARMENIA,1
1/1/2007,Asia,ARMENIA,1
1/1/2008,Asia,ARMENIA,1
1/1/2009,Asia,ARMENIA,1
1/1/2010,Asia,ARMENIA,1
1/1/2011,Asia,ARMENIA,1
1/1/2012,Asia,ARMENIA,1
1/1/2013,Asia,ARMENIA,1
1/1/2014,Asia,ARMENIA,1
1/1/2015,Asia,ARMENIA,1
1/1/2016,Asia,ARMENIA,1
1/1/2017,Asia,ARMENIA,1
1/1/2018,Asia,ARMENIA,1
1/1/2019,Asia,ARMENIA,1
1/1/2020,Asia,ARMENIA,1
1/1/1954,Europe,BELGIUM,0
1/1/1955,Europe,BELGIUM,0
1/1/1956,Europe,BELGIUM,0
1/1/1957,Europe,BELGIUM,0
1/1/1958,Europe,BELGIUM,0
1/1/1959,Europe,BELGIUM,0
1/1/1960,Europe,BELGIUM,0
1/1/1961,Europe,BELGIUM,0
1/1/1962,Europe,BELGIUM,1
1/1/1963,Europe,BELGIUM,1
1/1/1964,Europe,BELGIUM,1
1/1/1965,Europe,BELGIUM,1
1/1/1966,Europe,BELGIUM,1
1/1/1967,Europe,BELGIUM,1
1/1/1968,Europe,BELGIUM,1
1/1/1969,Europe,BELGIUM,1
1/1/1970,Europe,BELGIUM,1
1/1/1971,Europe,BELGIUM,1
1/1/1972,Europe,BELGIUM,1
1/1/1973,Europe,BELGIUM,1
1/1/1974,Europe,BELGIUM,2
1/1/1975,Europe,BELGIUM,4
1/1/1976,Europe,BELGIUM,4
1/1/1977,Europe,BELGIUM,4
1/1/1978,Europe,BELGIUM,4
1/1/1979,Europe,BELGIUM,4
1/1/1980,Europe,BELGIUM,4
1/1/1981,Europe,BELGIUM,4
1/1/1982,Europe,BELGIUM,6
1/1/1983,Europe,BELGIUM,6
1/1/1984,Europe,BELGIUM,6
1/1/1985,Europe,BELGIUM,8
1/1/1986,Europe,BELGIUM,8
1/1/1987,Europe,BELGIUM,8
1/1/1988,Europe,BELGIUM,7
1/1/1989,Europe,BELGIUM,7
1/1/1990,Europe,BELGIUM,7
1/1/1991,Europe,BELGIUM,7
1/1/1992,Europe,BELGIUM,7
1/1/1993,Europe,BELGIUM,7
1/1/1994,Europe,BELGIUM,7
1/1/1995,Europe,BELGIUM,7
1/1/1996,Europe,BELGIUM,7
1/1/1997,Europe,BELGIUM,7
1/1/1998,Europe,BELGIUM,7
1/1/1999,Europe,BELGIUM,7
1/1/2000,Europe,BELGIUM,7
1/1/2001,Europe,BELGIUM,7
1/1/2002,Europe,BELGIUM,7
1/1/2003,Europe,BELGIUM,7
1/1/2004,Europe,BELGIUM,7
1/1/2005,Europe,BELGIUM,7
1/1/2006,Europe,BELGIUM,7
1/1/2007,Europe,BELGIUM,7
1/1/2008,Europe,BELGIUM,7
1/1/2009,Europe,BELGIUM,7
1/1/2010,Europe,BELGIUM,7
1/1/2011,Europe,BELGIUM,7
1/1/2012,Europe,BELGIUM,7
1/1/2013,Europe,BELGIUM,7
1/1/2014,Europe,BELGIUM,7
1/1/2015,Europe,BELGIUM,7
1/1/2016,Europe,BELGIUM,7
1/1/2017,Europe,BELGIUM,7
1/1/2018,Europe,BELGIUM,7
1/1/2019,Europe,BELGIUM,7
1/1/2020,Europe,BELGIUM,7
1/1/1954,Europe,BULGARIA,0
1/1/1955,Europe,BULGARIA,0
1/1/1956,Europe,BULGARIA,0
1/1/1957,Europe,BULGARIA,0
1/1/1958,Europe,BULGARIA,0
1/1/1959,Europe,BULGARIA,0
1/1/1960,Europe,BULGARIA,0
1/1/1961,Europe,BULGARIA,0
1/1/1962,Europe,BULGARIA,0
1/1/1963,Europe,BULGARIA,0
1/1/1964,Europe,BULGARIA,0
1/1/1965,Europe,BULGARIA,0
1/1/1966,Europe,BULGARIA,0
1/1/1967,Europe,BULGARIA,0
1/1/1968,Europe,BULGARIA,0
1/1/1969,Europe,BULGARIA,0
1/1/1970,Europe,BULGARIA,0
1/1/1971,Europe,BULGARIA,0
1/1/1972,Europe,BULGARIA,0
1/1/1973,Europe,BULGARIA,0
1/1/1974,Europe,BULGARIA,1
1/1/1975,Europe,BULGARIA,2
1/1/1976,Europe,BULGARIA,2
1/1/1977,Europe,BULGARIA,2
1/1/1978,Europe,BULGARIA,2
1/1/1979,Europe,BULGARIA,2
1/1/1980,Europe,BULGARIA,3
1/1/1981,Europe,BULGARIA,3
1/1/1982,Europe,BULGARIA,4
1/1/1983,Europe,BULGARIA,4
1/1/1984,Europe,BULGARIA,4
1/1/1985,Europe,BULGARIA,4
1/1/1986,Europe,BULGARIA,4
1/1/1987,Europe,BULGARIA,5
1/1/1988,Europe,BULGARIA,5
1/1/1989,Europe,BULGARIA,5
1/1/1990,Europe,BULGARIA,5
1/1/1991,Europe,BULGARIA,6
1/1/1992,Europe,BULGARIA,6
1/1/1993,Europe,BULGARIA,6
1/1/1994,Europe,BULGARIA,6
1/1/1995,Europe,BULGARIA,6
1/1/1996,Europe,BULGARIA,6
1/1/1997,Europe,BULGARIA,6
1/1/1998,Europe,BULGARIA,6
1/1/1999,Europe,BULGARIA,6
1/1/2000,Europe,BULGARIA,6
1/1/2001,Europe,BULGARIA,6
1/1/2002,Europe,BULGARIA,6
1/1/2003,Europe,BULGARIA,4
1/1/2004,Europe,BULGARIA,4
1/1/2005,Europe,BULGARIA,4
1/1/2006,Europe,BULGARIA,4
1/1/2007,Europe,BULGARIA,2
1/1/2008,Europe,BULGARIA,2
1/1/2009,Europe,BULGARIA,2
1/1/2010,Europe,BULGARIA,2
1/1/2011,Europe,BULGARIA,2
1/1/2012,Europe,BULGARIA,2
1/1/2013,Europe,BULGARIA,2
1/1/2014,Europe,BULGARIA,2
1/1/2015,Europe,BULGARIA,2
1/1/2016,Europe,BULGARIA,2
1/1/2017,Europe,BULGARIA,2
1/1/2018,Europe,BULGARIA,2
1/1/2019,Europe,BULGARIA,2
1/1/2020,Europe,BULGARIA,2
1/1/1954,North America,CANADA,0
1/1/1955,North America,CANADA,0
1/1/1956,North America,CANADA,0
1/1/1957,North America,CANADA,0
1/1/1958,North America,CANADA,0
1/1/1959,North America,CANADA,0
1/1/1960,North America,CANADA,0
1/1/1961,North America,CANADA,0
1/1/1962,North America,CANADA,1
1/1/1963,North America,CANADA,1
1/1/1964,North America,CANADA,1
1/1/1965,North America,CANADA,1
1/1/1966,North America,CANADA,1
1/1/1967,North America,CANADA,2
1/1/1968,North America,CANADA,2
1/1/1969,North America,CANADA,2
1/1/1970,North America,CANADA,2
1/1/1971,North America,CANADA,5
1/1/1972,North America,CANADA,6
1/1/1973,North America,CANADA,7
1/1/1974,North America,CANADA,7
1/1/1975,North America,CANADA,7
1/1/1976,North America,CANADA,8
1/1/1977,North America,CANADA,10
1/1/1978,North America,CANADA,10
1/1/1979,North America,CANADA,10
1/1/1980,North America,CANADA,10
1/1/1981,North America,CANADA,10
1/1/1982,North America,CANADA,13
1/1/1983,North America,CANADA,14
1/1/1984,North America,CANADA,17
1/1/1985,North America,CANADA,16
1/1/1986,North America,CANADA,18
1/1/1987,North America,CANADA,19
1/1/1988,North America,CANADA,18
1/1/1989,North America,CANADA,18
1/1/1990,North America,CANADA,20
1/1/1991,North America,CANADA,20
1/1/1992,North America,CANADA,21
1/1/1993,North America,CANADA,22
1/1/1994,North America,CANADA,22
1/1/1995,North America,CANADA,22
1/1/1996,North America,CANADA,22
1/1/1997,North America,CANADA,22
1/1/1998,North America,CANADA,22
1/1/1999,North America,CANADA,22
1/1/2000,North America,CANADA,22
1/1/2001,North America,CANADA,22
1/1/2002,North America,CANADA,22
1/1/2003,North America,CANADA,22
1/1/2004,North America,CANADA,22
1/1/2005,North America,CANADA,22
1/1/2006,North America,CANADA,22
1/1/2007,North America,CANADA,22
1/1/2008,North America,CANADA,21
1/1/2009,North America,CANADA,20
1/1/2010,North America,CANADA,20
1/1/2011,North America,CANADA,20
1/1/2012,North America,CANADA,20
1/1/2013,North America,CANADA,19
1/1/2014,North America,CANADA,19
1/1/2015,North America,CANADA,19
1/1/2016,North America,CANADA,19
1/1/2017,North America,CANADA,19
1/1/2018,North America,CANADA,19
1/1/2019,North America,CANADA,19
1/1/2020,North America,CANADA,19
1/1/1954,Europe,FRANCE,0
1/1/1955,Europe,FRANCE,0
1/1/1956,Europe,FRANCE,0
1/1/1957,Europe,FRANCE,0
1/1/1958,Europe,FRANCE,0
1/1/1959,Europe,FRANCE,1
1/1/1960,Europe,FRANCE,2
1/1/1961,Europe,FRANCE,2
1/1/1962,Europe,FRANCE,2
1/1/1963,Europe,FRANCE,3
1/1/1964,Europe,FRANCE,3
1/1/1965,Europe,FRANCE,4
1/1/1966,Europe,FRANCE,5
1/1/1967,Europe,FRANCE,7
1/1/1968,Europe,FRANCE,7
1/1/1969,Europe,FRANCE,8
1/1/1970,Europe,FRANCE,8
1/1/1971,Europe,FRANCE,9
1/1/1972,Europe,FRANCE,10
1/1/1973,Europe,FRANCE,11
1/1/1974,Europe,FRANCE,10
1/1/1975,Europe,FRANCE,10
1/1/1976,Europe,FRANCE,10
1/1/1977,Europe,FRANCE,12
1/1/1978,Europe,FRANCE,14
1/1/1979,Europe,FRANCE,16
1/1/1980,Europe,FRANCE,23
1/1/1981,Europe,FRANCE,30
1/1/1982,Europe,FRANCE,32
1/1/1983,Europe,FRANCE,36
1/1/1984,Europe,FRANCE,42
1/1/1985,Europe,FRANCE,45
1/1/1986,Europe,FRANCE,49
1/1/1987,Europe,FRANCE,53
1/1/1988,Europe,FRANCE,55
1/1/1989,Europe,FRANCE,55
1/1/1990,Europe,FRANCE,58
1/1/1991,Europe,FRANCE,57
1/1/1992,Europe,FRANCE,57
1/1/1993,Europe,FRANCE,57
1/1/1994,Europe,FRANCE,57
1/1/1995,Europe,FRANCE,56
1/1/1996,Europe,FRANCE,57
1/1/1997,Europe,FRANCE,59
1/1/1998,Europe,FRANCE,59
1/1/1999,Europe,FRANCE,59
1/1/2000,Europe,FRANCE,59
1/1/2001,Europe,FRANCE,59
1/1/2002,Europe,FRANCE,59
1/1/2003,Europe,FRANCE,59
1/1/2004,Europe,FRANCE,59
1/1/2005,Europe,FRANCE,59
1/1/2006,Europe,FRANCE,59
1/1/2007,Europe,FRANCE,59
1/1/2008,Europe,FRANCE,59
1/1/2009,Europe,FRANCE,59
1/1/2010,Europe,FRANCE,59
1/1/2011,Europe,FRANCE,58
1/1/2012,Europe,FRANCE,58
1/1/2013,Europe,FRANCE,58
1/1/2014,Europe,FRANCE,58
1/1/2015,Europe,FRANCE,58
1/1/2016,Europe,FRANCE,58
1/1/2017,Europe,FRANCE,58
1/1/2018,Europe,FRANCE,58
1/1/2019,Europe,FRANCE,58
1/1/2020,Europe,FRANCE,58
1/1/1954,Europe,GERMANY,0
1/1/1955,Europe,GERMANY,0
1/1/1956,Europe,GERMANY,0
1/1/1957,Europe,GERMANY,0
1/1/1958,Europe,GERMANY,0
1/1/1959,Europe,GERMANY,0
1/1/1960,Europe,GERMANY,0
1/1/1961,Europe,GERMANY,1
1/1/1962,Europe,GERMANY,1
1/1/1963,Europe,GERMANY,1
1/1/1964,Europe,GERMANY,1
1/1/1965,Europe,GERMANY,1
1/1/1966,Europe,GERMANY,4
1/1/1967,Europe,GERMANY,5
1/1/1968,Europe,GERMANY,7
1/1/1969,Europe,GERMANY,8
1/1/1970,Europe,GERMANY,8
1/1/1971,Europe,GERMANY,9
1/1/1972,Europe,GERMANY,9
1/1/1973,Europe,GERMANY,11
1/1/1974,Europe,GERMANY,13
1/1/1975,Europe,GERMANY,12
1/1/1976,Europe,GERMANY,15
1/1/1977,Europe,GERMANY,15
1/1/1978,Europe,GERMANY,17
1/1/1979,Europe,GERMANY,19
1/1/1980,Europe,GERMANY,19
1/1/1981,Europe,GERMANY,20
1/1/1982,Europe,GERMANY,20
1/1/1983,Europe,GERMANY,21
1/1/1984,Europe,GERMANY,25
1/1/1985,Europe,GERMANY,25
1/1/1986,Europe,GERMANY,26
1/1/1987,Europe,GERMANY,26
1/1/1988,Europe,GERMANY,28
1/1/1989,Europe,GERMANY,27
1/1/1990,Europe,GERMANY,26
1/1/1991,Europe,GERMANY,21
1/1/1992,Europe,GERMANY,20
1/1/1993,Europe,GERMANY,20
1/1/1994,Europe,GERMANY,20
1/1/1995,Europe,GERMANY,19
1/1/1996,Europe,GERMANY,19
1/1/1997,Europe,GERMANY,19
1/1/1998,Europe,GERMANY,19
1/1/1999,Europe,GERMANY,19
1/1/2000,Europe,GERMANY,19
1/1/2001,Europe,GERMANY,19
1/1/2002,Europe,GERMANY,19
1/1/2003,Europe,GERMANY,19
1/1/2004,Europe,GERMANY,18
1/1/2005,Europe,GERMANY,18
1/1/2006,Europe,GERMANY,17
1/1/2007,Europe,GERMANY,17
1/1/2008,Europe,GERMANY,17
1/1/2009,Europe,GERMANY,17
1/1/2010,Europe,GERMANY,17
1/1/2011,Europe,GERMANY,17
1/1/2012,Europe,GERMANY,9
1/1/2013,Europe,GERMANY,9
1/1/2014,Europe,GERMANY,9
1/1/2015,Europe,GERMANY,9
1/1/2016,Europe,GERMANY,8
1/1/2017,Europe,GERMANY,8
1/1/2018,Europe,GERMANY,7
1/1/2019,Europe,GERMANY,7
1/1/2020,Europe,GERMANY,6
1/1/1954,Europe,ITALY,0
1/1/1955,Europe,ITALY,0
1/1/1956,Europe,ITALY,0
1/1/1957,Europe,ITALY,0
1/1/1958,Europe,ITALY,0
1/1/1959,Europe,ITALY,0
1/1/1960,Europe,ITALY,0
1/1/1961,Europe,ITALY,0
1/1/1962,Europe,ITALY,0
1/1/1963,Europe,ITALY,1
1/1/1964,Europe,ITALY,3
1/1/1965,Europe,ITALY,3
1/1/1966,Europe,ITALY,3
1/1/1967,Europe,ITALY,3
1/1/1968,Europe,ITALY,3
1/1/1969,Europe,ITALY,3
1/1/1970,Europe,ITALY,3
1/1/1971,Europe,ITALY,3
1/1/1972,Europe,ITALY,3
1/1/1973,Europe,ITALY,3
1/1/1974,Europe,ITALY,3
1/1/1975,Europe,ITALY,3
1/1/1976,Europe,ITALY,3
1/1/1977,Europe,ITALY,3
1/1/1978,Europe,ITALY,4
1/1/1979,Europe,ITALY,4
1/1/1980,Europe,ITALY,4
1/1/1981,Europe,ITALY,4
1/1/1982,Europe,ITALY,4
1/1/1983,Europe,ITALY,3
1/1/1984,Europe,ITALY,3
1/1/1985,Europe,ITALY,3
1/1/1986,Europe,ITALY,3
1/1/1987,Europe,ITALY,3
1/1/1988,Europe,ITALY,2
1/1/1989,Europe,ITALY,2
1/1/1990,Europe,ITALY,2
1/1/1991,Europe,ITALY,0
1/1/1992,Europe,ITALY,0
1/1/1993,Europe,ITALY,0
1/1/1994,Europe,ITALY,0
1/1/1995,Europe,ITALY,0
1/1/1996,Europe,ITALY,0
1/1/1997,Europe,ITALY,0
1/1/1998,Europe,ITALY,0
1/1/1999,Europe,ITALY,0
1/1/2000,Europe,ITALY,0
1/1/2001,Europe,ITALY,0
1/1/2002,Europe,ITALY,0
1/1/2003,Europe,ITALY,0
1/1/2004,Europe,ITALY,0
1/1/2005,Europe,ITALY,0
1/1/2006,Europe,ITALY,0
1/1/2007,Europe,ITALY,0
1/1/2008,Europe,ITALY,0
1/1/2009,Europe,ITALY,0
1/1/2010,Europe,ITALY,0
1/1/2011,Europe,ITALY,0
1/1/2012,Europe,ITALY,0
1/1/2013,Europe,ITALY,0
1/1/2014,Europe,ITALY,0
1/1/2015,Europe,ITALY,0
1/1/2016,Europe,ITALY,0
1/1/2017,Europe,ITALY,0
1/1/2018,Europe,ITALY,0
1/1/2019,Europe,ITALY,0
1/1/2020,Europe,ITALY,0
1/1/1954,Asia,JAPAN,0
1/1/1955,Asia,JAPAN,0
1/1/1956,Asia,JAPAN,0
1/1/1957,Asia,JAPAN,0
1/1/1958,Asia,JAPAN,0
1/1/1959,Asia,JAPAN,0
1/1/1960,Asia,JAPAN,0
1/1/1961,Asia,JAPAN,0
1/1/1962,Asia,JAPAN,0
1/1/1963,Asia,JAPAN,1
1/1/1964,Asia,JAPAN,1
1/1/1965,Asia,JAPAN,2
1/1/1966,Asia,JAPAN,2
1/1/1967,Asia,JAPAN,2
1/1/1968,Asia,JAPAN,2
1/1/1969,Asia,JAPAN,3
1/1/1970,Asia,JAPAN,5
1/1/1971,Asia,JAPAN,5
1/1/1972,Asia,JAPAN,6
1/1/1973,Asia,JAPAN,8
1/1/1974,Asia,JAPAN,11
1/1/1975,Asia,JAPAN,13
1/1/1976,Asia,JAPAN,14
1/1/1977,Asia,JAPAN,16
1/1/1978,Asia,JAPAN,21
1/1/1979,Asia,JAPAN,22
1/1/1980,Asia,JAPAN,23
1/1/1981,Asia,JAPAN,25
1/1/1982,Asia,JAPAN,25
1/1/1983,Asia,JAPAN,28
1/1/1984,Asia,JAPAN,31
1/1/1985,Asia,JAPAN,33
1/1/1986,Asia,JAPAN,35
1/1/1987,Asia,JAPAN,36
1/1/1988,Asia,JAPAN,38
1/1/1989,Asia,JAPAN,39
1/1/1990,Asia,JAPAN,41
1/1/1991,Asia,JAPAN,42
1/1/1992,Asia,JAPAN,44
1/1/1993,Asia,JAPAN,48
1/1/1994,Asia,JAPAN,50
1/1/1995,Asia,JAPAN,51
1/1/1996,Asia,JAPAN,54
1/1/1997,Asia,JAPAN,54
1/1/1998,Asia,JAPAN,54
1/1/1999,Asia,JAPAN,53
1/1/2000,Asia,JAPAN,53
1/1/2001,Asia,JAPAN,54
1/1/2002,Asia,JAPAN,54
1/1/2003,Asia,JAPAN,54
1/1/2004,Asia,JAPAN,54
1/1/2005,Asia,JAPAN,56
1/1/2006,Asia,JAPAN,56
1/1/2007,Asia,JAPAN,56
1/1/2008,Asia,JAPAN,56
1/1/2009,Asia,JAPAN,55
1/1/2010,Asia,JAPAN,55
1/1/2011,Asia,JAPAN,55
1/1/2012,Asia,JAPAN,51
1/1/2013,Asia,JAPAN,51
1/1/2014,Asia,JAPAN,49
1/1/2015,Asia,JAPAN,49
1/1/2016,Asia,JAPAN,44
1/1/2017,Asia,JAPAN,43
1/1/2018,Asia,JAPAN,42
1/1/2019,Asia,JAPAN,38
1/1/2020,Asia,JAPAN,33
1/1/1954,Asia,KAZAKHSTAN,0
1/1/1955,Asia,KAZAKHSTAN,0
1/1/1956,Asia,KAZAKHSTAN,0
1/1/1957,Asia,KAZAKHSTAN,0
1/1/1958,Asia,KAZAKHSTAN,0
1/1/1959,Asia,KAZAKHSTAN,0
1/1/1960,Asia,KAZAKHSTAN,0
1/1/1961,Asia,KAZAKHSTAN,0
1/1/1962,Asia,KAZAKHSTAN,0
1/1/1963,Asia,KAZAKHSTAN,0
1/1/1964,Asia,KAZAKHSTAN,0
1/1/1965,Asia,KAZAKHSTAN,0
1/1/1966,Asia,KAZAKHSTAN,0
1/1/1967,Asia,KAZAKHSTAN,0
1/1/1968,Asia,KAZAKHSTAN,0
1/1/1969,Asia,KAZAKHSTAN,0
1/1/1970,Asia,KAZAKHSTAN,0
1/1/1971,Asia,KAZAKHSTAN,0
1/1/1972,Asia,KAZAKHSTAN,0
1/1/1973,Asia,KAZAKHSTAN,1
1/1/1974,Asia,KAZAKHSTAN,1
1/1/1975,Asia,KAZAKHSTAN,1
1/1/1976,Asia,KAZAKHSTAN,1
1/1/1977,Asia,KAZAKHSTAN,1
1/1/1978,Asia,KAZAKHSTAN,1
1/1/1979,Asia,KAZAKHSTAN,1
1/1/1980,Asia,KAZAKHSTAN,1
1/1/1981,Asia,KAZAKHSTAN,1
1/1/1982,Asia,KAZAKHSTAN,1
